cs_g_B4_B51s_fast,cs_g_B20_B4_fast,error
0.825,0.09,0
0.825,0.09222222222222222,0
0.825,0.09444444444444444,0
0.825,0.09666666666666666,0
0.825,0.09888888888888889,0
0.825,0.10333333333333333,0
0.825,0.10555555555555556,0
0.825,0.10111111111111111,0
0.825,0.10777777777777778,0
0.825,0.11,0
0.8305555555555555,0.09,0
0.8305555555555555,0.09222222222222222,0
0.8305555555555555,0.09666666666666666,0
0.8305555555555555,0.09888888888888889,0
0.8305555555555555,0.09444444444444444,0
0.8305555555555555,0.10111111111111111,0
0.8305555555555555,0.10333333333333333,0
0.8305555555555555,0.10555555555555556,0
0.8305555555555555,0.10777777777777778,0
0.8305555555555555,0.11,0
0.836111111111111,0.09222222222222222,0
0.836111111111111,0.09,0
0.836111111111111,0.09666666666666666,0
0.836111111111111,0.09444444444444444,0
0.836111111111111,0.10111111111111111,0
0.836111111111111,0.09888888888888889,0
0.836111111111111,0.10333333333333333,0
0.836111111111111,0.10777777777777778,0
0.836111111111111,0.10555555555555556,0
0.836111111111111,0.11,0
0.8416666666666667,0.09222222222222222,0
0.8416666666666667,0.09,0
0.8416666666666667,0.09444444444444444,0
0.8416666666666667,0.09666666666666666,0
0.8416666666666667,0.10111111111111111,0
0.8416666666666667,0.09888888888888889,0
0.8416666666666667,0.10333333333333333,0
0.8416666666666667,0.10555555555555556,0
0.8416666666666667,0.10777777777777778,0
0.8416666666666667,0.11,0
0.8472222222222222,0.09,0
0.8472222222222222,0.09222222222222222,0
0.8472222222222222,0.09444444444444444,0
0.8472222222222222,0.09666666666666666,0
0.8472222222222222,0.09888888888888889,0
0.8472222222222222,0.10333333333333333,0
0.8472222222222222,0.10111111111111111,0
0.8472222222222222,0.10555555555555556,0
0.8472222222222222,0.10777777777777778,0
0.8527777777777777,0.09,0
0.8472222222222222,0.11,0
0.8527777777777777,0.09444444444444444,0
0.8527777777777777,0.09222222222222222,0
0.8527777777777777,0.09888888888888889,0
0.8527777777777777,0.09666666666666666,0
0.8527777777777777,0.10111111111111111,0
0.8527777777777777,0.10333333333333333,0
0.8527777777777777,0.10555555555555556,0
0.8527777777777777,0.10777777777777778,0
0.8583333333333333,0.09,0
0.8527777777777777,0.11,0
0.8583333333333333,0.09222222222222222,0
0.8583333333333333,0.09666666666666666,0
0.8583333333333333,0.09444444444444444,0
0.8583333333333333,0.10111111111111111,0
0.8583333333333333,0.09888888888888889,0
0.8583333333333333,0.10333333333333333,0
0.8583333333333333,0.10555555555555556,0
0.8583333333333333,0.10777777777777778,0
0.8583333333333333,0.11,0
0.8638888888888889,0.09222222222222222,0
0.8638888888888889,0.09,0
0.8638888888888889,0.09444444444444444,0
0.8638888888888889,0.09666666666666666,0
0.8638888888888889,0.09888888888888889,0
0.8638888888888889,0.10333333333333333,0
0.8638888888888889,0.10111111111111111,0
0.8638888888888889,0.10555555555555556,0
0.8638888888888889,0.10777777777777778,0
0.8638888888888889,0.11,0
0.8694444444444445,0.09,0
0.8694444444444445,0.09222222222222222,0
0.8694444444444445,0.09444444444444444,0
0.8694444444444445,0.09888888888888889,0
0.8694444444444445,0.09666666666666666,0
0.8694444444444445,0.10111111111111111,0
0.8694444444444445,0.10333333333333333,0
0.8694444444444445,0.10555555555555556,0
0.8694444444444445,0.10777777777777778,0
0.8694444444444445,0.11,0
0.875,0.09,0
0.875,0.09222222222222222,0
0.875,0.09444444444444444,0
0.875,0.09666666666666666,0
0.875,0.09888888888888889,0
0.875,0.10111111111111111,0
0.875,0.10333333333333333,0
0.875,0.10555555555555556,0
0.875,0.10777777777777778,0
0.875,0.11,0
